PAIS,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
GAZA STRIP,273761,272280,269723,228589,187036,162984,125365,92242,77562,58493,48607,40114,30026,20956,14115,8120,4909,2475,724,127,13
GEORGIA,294943,317381,295581,253049,284351,364860,393578,349817,309277,296928,286835,337811,314956,258099,176515,123599,142372,74539,43028,10505,2006
GERMANY,3460896,3430925,3436892,3677824,4189059,4551949,5103606,4906098,4701761,5023693,6636638,6824744,5789166,4967012,3911232,3683372,3241912,1601991,749959,234078,36855
GHANA,4029284,3664007,3292584,2909316,2560766,2246492,2052724,1837652,1520856,1296147,1100073,863727,664547,506475,353363,232708,133591,57422,15924,2386,204
GIBRALTAR,2033,2025,1929,1866,2000,2477,2246,2136,2036,1833,1483,1190,1387,1457,1438,811,658,340,155,63,18
GREECE,455883,512624,572320,535949,561004,562422,609028,679315,773896,788467,787310,711829,677511,613839,567976,451884,398497,241218,87440,16757,1882
GREENLAND,4041,3996,3958,4012,4311,4750,4322,3501,2910,2791,4609,4817,3630,2405,1582,1099,525,247,91,16,3
GRENADA,8474,8902,8897,8225,7768,8335,9624,8003,6549,6746,6034,7071,6153,4367,3293,2287,1466,658,211,30,1
GUAM,15743,15434,14693,13786,13308,12630,10966,9266,8965,9886,10038,9921,7768,6234,4690,2432,1718,777,196,32,2
GUATEMALA,1979293,1955811,1842473,1721583,1667693,1529930,1305838,1091518,941583,786365,597515,510738,417422,323370,225952,142221,71697,30897,9682,1583,124
GUERNSEY,3212,3220,3288,3270,3822,4319,4486,4276,4251,4698,5283,5038,4325,3714,3700,2292,1786,1129,633,247,63
GUINEA,1991347,1687997,1481795,1313093,1106927,931140,799127,679590,573007,479960,401294,329393,263475,198819,141454,87190,43265,15023,3178,347,19
GUINEA-BISSAU,315235,270357,246323,213347,179474,150763,126586,106499,85051,69239,44665,31386,28824,24098,16472,10471,5671,2144,446,50,3
GUYANA,55260,57305,66777,78822,80459,68668,53253,46715,44812,42733,40029,34759,28012,22947,13549,8395,4731,2117,706,140,15
HAITI,1149694,1139488,1165345,1155468,1136386,1033741,895336,754894,626003,522135,423394,331279,254935,193205,138009,86532,43125,15010,3383,389,26
HONDURAS,869419,928146,991291,1010173,931972,812356,695770,624970,547713,449299,359932,282861,232399,182695,134295,90449,55997,26175,7911,1397,120
HONG KONG,320987,343866,263595,276778,361955,456614,468079,535561,528774,539314,564157,653971,596127,459076,339256,190543,164894,118595,52413,13521,1831
HUNGARY,441469,475101,504711,499834,519487,607659,624279,646258,821802,767122,653307,559095,629888,656233,501843,379948,250556,147757,64144,18463,2871
ICELAND,23567,23836,23828,22000,23065,24868,24113,23840,22822,21867,20812,21496,20377,17223,13786,9548,6093,4301,2315,799,178
INDIA,116320763,116134270,116406628,116858691,115304620,109224567,102428612,96469265,89655837,82377295,70962410,58373273,46518582,35362221,25140011,16061770,8403793,3200789,778026,104828,6996
INDONESIA,20478078,21201103,22058099,22512791,22234259,20550374,19563470,19746467,19650474,18844167,15304197,12950896,11050947,8286591,4935752,4053622,2280967,967794,307901,42888,5529
